,cit_dis_sch,school,district,city,enroll_act,testtakers_act,reading_act,english_act,math_act,science_act,num_above21_act,pct_above21_act,enroll_sat,testtakers_sat,num_erw_benchmark_sat,pct_erw_benchmark_sat,num_math_benchmark_sat,pct_math_benchmark_sat,num_tot_benchmark_sat,pct_tot_benchmark_sat,act_participation,sat_participation
30,19757131930163.0,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,24.0,25.0,24.0,23.0,69.0,0.7419,648.0,268.0,198.0,0.7388,151.0,0.5634,139.0,0.5187,0.14351851851851852,0.41358024691358025
31,7617390730549.0,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,25.0,23.0,25.0,23.0,30.0,0.75,284.0,79.0,71.0,0.8987,60.0,0.7595,60.0,0.7595,0.14084507042253522,0.27816901408450706
32,27661592730109.0,Alisal High,Salinas Union High,Monterey,651.0,206.0,18.0,17.0,18.0,18.0,47.01,0.2282,651.0,232.0,121.0,0.5216,77.0,0.3319,67.0,0.2888,0.31643625192012287,0.3563748079877112
33,30664643030574.0,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,26.0,27.0,27.0,26.0,254.0,0.8881,749.0,235.0,220.0,0.9362,199.0,0.8468,195.0,0.8298,0.3818424566088118,0.3137516688918558
36,19647330108936.0,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,18.0,20.0,19.0,18.0,19.0,0.2714,141.0,138.0,71.0,0.5145,29.0,0.2101,29.0,0.2101,0.49645390070921985,0.9787234042553191
37,19647330111500.0,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,16.0,16.0,18.0,17.0,14.0,0.175,101.0,95.0,39.0,0.4105,38.0,0.4,28.0,0.2947,0.7920792079207921,0.9405940594059405
38,19647330106864.0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,8.0,22.08,21.2,21.42,21.36,4.4,0.55,123.0,123.0,58.0,0.4715,30.0,0.2439,26.0,0.2114,0.06504065040650407,1.0
48,19647330123133.0,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137.0,14.0,22.08,21.2,21.42,21.36,7.7,0.55,137.0,135.0,39.0,0.2889,21.0,0.1556,18.0,0.1333,0.10218978102189781,0.9854014598540146
50,19647330121293.0,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89.0,89.0,15.0,14.0,16.0,16.0,10.0,0.1124,89.0,18.0,10.0,0.5556,5.0,0.2778,5.0,0.2778,1.0,0.20224719101123595
53,36676523630225.0,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23.0,22.0,22.0,22.0,34.0,0.6071,634.0,231.0,164.0,0.71,107.0,0.4632,101.0,0.4372,0.08832807570977919,0.3643533123028391
54,42767860120402.0,Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,61.0,8.0,22.08,21.2,21.42,21.36,4.4,0.55,61.0,8.0,5.0,0.6836,4.0,0.4786,4.0,0.4529,0.13114754098360656,0.13114754098360656
